schema_version,extractor_version,report_date,revision_id,district,revenue_circle,source_names,affected_villages,affected_population,crop_area_submerged_hectares,relief_camps_open,relief_distribution_centres_open,relief_camp_occupants,confirmed_deaths
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Charaideo,Mahmora,Mahmora,67,67128,7040,14,1,2984,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Charaideo,Sapekhati,Sapekhati,1,0,1597,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Charaideo,Sonari,Sonari,80,121276,7812,2,30,358,1
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Dhemaji,Jonai,Jonai,,0,0,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Dibrugarh,Dibrugarh West,Dibrugarh West,19,0,611.5,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Dibrugarh,Moran,Moran,2,164,0,1,1,88,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Dibrugarh,Naharkatiya,Naharkatia,1,0,0,0,1,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Dibrugarh,Tengakhat,Tengakhat,,0,0,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Dibrugarh,Tingkhong,Tingkhong,,0,0,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Golaghat,Bokakhat,Bokakhat,21,4403,511.94,2,3,123,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Golaghat,Dergaon,Dergaon,43,9304,516.95,2,14,204,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Golaghat,Golaghat,Golaghat,33,15886,1123,7,12,816,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Golaghat,Khumtai,Khumtai,20,11237,817.55,2,4,67,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Golaghat,Morongi,Morongi,2,16,16,0,2,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Hojai,Doboka,Doboka,19,0,116,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Jorhat,Jorhat East,Jorhat East,28,893,778.9000000000001,0,1,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Jorhat,Jorhat West,Jorhat West,60,32629,1942.8999999999999,4,12,1164,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Jorhat,Mariani,Mariani,7,0,0,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Jorhat,Teok,Teok,74,79395,2227.91,10,1,1905,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Jorhat,Titabor,Titabor,16,19031,636.4,0,21,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Kamrup,Chhaygaon,Chaygaon,2,0,6.5,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Kamrup (M),Sonapur,Sonapur,8,0,21,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Nagaon,Kampur,Kampur,22,0,2028,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Nagaon,Nagaon,Nagaon,11,0,474,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Nagaon,Samaguri,Samaguri,18,2699,525.5,0,1,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Sivasagar,Amguri,Amguri,50,17567,87.25,13,23,2501,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Sivasagar,Dimow,Demow,31,36727,2145.2,11,12,2647,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Sivasagar,Nazira,Nazira,41,17885,3876,17,0,3929,3
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Sivasagar,Sibsagar,Sivsagar,114,195846,50,5,36,2116,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Sivasagar,Sonari,Sonari RC part,19,22752,0,0,9,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Sonitpur,Dhekiajuli,Dhekiajuli,1,0,9.3,0,0,0,0
1,5,2026-07-25,df57d8017ddd60eb5b16ac5b79f1f93a1de5f3d64b925d60a9682485f634776a,Sribhumi,Patherkandi,Patherkandi,,0,0,0,0,0,0
