schema_version,extractor_version,report_date,revision_id,district,revenue_circle,source_names,affected_villages,affected_population,crop_area_submerged_hectares,relief_camps_open,relief_distribution_centres_open,relief_camp_occupants,confirmed_deaths
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Charaideo,Mahmora,Mahmora,67,67128,6740,14,34,3050,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Charaideo,Sapekhati,Sapekhati,1,0,1697,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Charaideo,Sonari,Sonari,80,121276,7210,2,30,358,2
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Dibrugarh,Dibrugarh West,Dibrugarh West,5,0,0,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Dibrugarh,Moran,Moran,,0,0,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Dibrugarh,Naharkatiya,Naharkatia,,0,0,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Dibrugarh,Tengakhat,Tengakhat,,0,0,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Dibrugarh,Tingkhong,Tingkhong,,0,0,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Golaghat,Bokakhat,Bokakhat,21,2716,511.94,0,3,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Golaghat,Dergaon,Dergaon,43,14184,516.95,1,17,137,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Golaghat,Golaghat,Golaghat,33,15886,1123,7,9,816,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Golaghat,Khumtai,Khumtai,16,9930,817.55,2,7,144,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Hojai,Doboka,Doboka,19,0,116,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Jorhat,Jorhat East,Jorhat East,9,0,172,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Jorhat,Jorhat West,Jorhat West,60,41719,1991.7500000000002,5,14,1252,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Jorhat,Mariani,Mariani,7,0,0,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Jorhat,Teok,Teok,76,80645,1919.5,12,4,1553,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Jorhat,Titabor,Titabor,16,15411,636.4,0,9,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Kamrup,Chhaygaon,Chaygaon,2,0,6.5,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Kamrup (M),Sonapur,Sonapur,3,0,8.5,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Nagaon,Kampur,Kampur,19,0,1612,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Nagaon,Nagaon,Nagaon,14,0,409,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Nagaon,Samaguri,Samaguri,13,1774,454,0,0,0,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Sivasagar,Amguri,Amguri,52,41191,9364,26,50,20891,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Sivasagar,Dimow,Demow,33,13090,564,13,3,1916,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Sivasagar,Nazira,Nazira,41,17885,8551,18,2,3978,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Sivasagar,Sibsagar,Sivsagar,114,72846,4321,9,52,3629,0
1,7,2026-07-26,2af68e12437eebb7223c4dd83d8a5af468ffcb810e8b8eb7c30d2209285c2573,Sivasagar,Sonari,Sonari RC part,19,9052,0,0,11,0,0
