schema_version,extractor_version,report_date,revision_id,district,revenue_circle,source_names,affected_villages,affected_population,crop_area_submerged_hectares,relief_camps_open,relief_distribution_centres_open,relief_camp_occupants,confirmed_deaths
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Cachar,Sonai,Sonai,,0,0,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Charaideo,Sonari,Sonari,,0,0,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Dibrugarh,Moran,Moran,,0,0,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Dibrugarh,Tengakhat,Tengakhat,,0,0,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Golaghat,Bokakhat,Bokakhat,21,19379,680,1,0,105,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Golaghat,Dergaon,Dergaon,28,5466,350,3,0,77,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Golaghat,Golaghat,Golaghat,10,250,190,1,0,190,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Golaghat,Khumtai,Khumtai,16,3916,420,0,1,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Golaghat,Morongi,Morongi,8,1767,280.75,1,0,29,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Golaghat,Sarupathar,Sarupathar,2,0,4.2,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Hojai,Doboka,Doboka,24,0,363,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Jorhat,Jorhat East,Jorhat East,5,0,34.26,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Jorhat,Jorhat West,Jorhat West,29,2386,0,4,0,603,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Jorhat,Teok,Teok,14,6701,325,2,0,42,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Jorhat,Titabor,Titabor,3,0,10,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Kamrup,Kamalpur,Kamalpur,8,0,52.4,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Lakhimpur,Narayanpur,Narayanpur,3,0,180,0,3,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Nagaon,Kampur,Kampur,16,0,941,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Nagaon,Nagaon,Nagaon,13,1775,291,7,2,1570,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Nagaon,Rupahi,Rupahi,3,0,102,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Nagaon,Samaguri,Samaguri,61,24517,2333.1,1,31,337,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Sivasagar,Amguri,Amguri,4,1123,71,4,0,391,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Sivasagar,Dimow,Demow,,0,0,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Sivasagar,Nazira,Nazira,11,3907,1500,4,0,117,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Sivasagar,Sibsagar,Sivsagar,34,7450,141,3,0,1596,1
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Sivasagar,Sonari,Sonari RC part,,0,0,0,0,0,0
1,7,2026-08-14,fe54c08130dbe659917a6a96b71729866748433cea84b8df87500a01359cd03f,Udalguri,Mazbat,Mazbat,,0,0,0,0,0,0
