udise_code,school_name,district,village,longitude,latitude,school_category,management
18230215001,EAST GUTGUTI LPS,HAILAKANDI,GUTGUTI R.F,92.4950500000146,24.1667499997652,Primary,Department of Education
18230215003,WEST GUTGUTI - 2 LPS,HAILAKANDI,GUTGUTI R.F,92.5257829999198,24.1831169997459,Primary,Department of Education
18230215202,PAKUA PUNJEE LPS,HAILAKANDI,SAHEBMARA,92.5257829999198,24.1831169997459,Primary,Department of Education
18230214803,PRANKRISHNA TRIBAL VLP,HAILAKANDI,BHAICHERRA R.F,92.5038330001256,24.1838500002964,Primary,Department of Education
18230215008,MODEL VILLAGE TRIBAL VLPS,HAILAKANDI,GUTGUTI R.F,92.4941670001077,24.1849170000809,Primary,Unrecognized
18230215002,WEST GUTGUTI - 1 LPS,HAILAKANDI,GUTGUTI R.F,92.4969999999513,24.1864999998864,Primary,Department of Education
18230215201,SHAHEBMARA NORTH LPS,HAILAKANDI,SAHEBMARA,92.5300829998263,24.1903999998902,Primary,Department of Education
18230205102,BOINCHERRA LPS,HAILAKANDI,KANCHIWALA R.F,92.5149999996433,24.1934000002493,Primary,Department of Education
18230214801,RAJARTHAL LPS,HAILAKANDI,BHAICHERRA R.F,92.5297000004099,24.1947830002724,Primary,Department of Education
18230205104,EAST CHORAIBAK LPS,HAILAKANDI,KANCHIWALA R.F,92.5213829995559,24.2041169996103,Primary,Department of Education
18230214804,NATUN BASTI ROY VLP,HAILAKANDI,BHAICHERRA R.F,92.5395670002693,24.2046670001279,Primary,Unrecognized
18230214901,RIFLE TOISA LPS,HAILAKANDI,RIFELMARA,92.4741670002502,24.2099170000945,Primary,Department of Education
18230217501,MULIWALA LPS,HAILAKANDI,KACHURTHAL F.V,92.5419170002391,24.2129670003387,Primary,Department of Education
18230205103,BHAICHERRA LPS,HAILAKANDI,KANCHIWALA R.F,92.5367670000377,24.2163169998625,Primary,Department of Education
18230214906,WACHLAU VLP,HAILAKANDI,RIFELMARA,92.4769499998651,24.2180330002379,Primary,Unrecognized
18230205101,KANCHIWALA LP,HAILAKANDI,KANCHIWALA R.F,92.521016999858,24.2198500001303,Primary,Department of Education
18230214904,RIFELMARA VLP,HAILAKANDI,RIFELMARA,92.4735329998654,24.2230829999541,Primary,Unrecognized
18230214902,NORTH RIFELMARA LPS,HAILAKANDI,RIFELMARA,92.4749499996997,24.2266170003811,Primary,Department of Education
18230202501,838 NO RAMNATHPUR  LP,HAILAKANDI,RAMNATHPUR F.V,92.5259169998141,24.2304330001284,Primary,Department of Education
18230202502,G.S MEMORIAL MES,HAILAKANDI,RAMNATHPUR F.V,92.5256830003607,24.2310999999338,Upper Primary only,Government Aided
18230208103,ULTAN NALA VLPS,HAILAKANDI,RAMPUR,92.5118799997446,24.2343300002774,Primary,Unrecognized
18230204602,RAM KRISHNA TRIBAL VLP,HAILAKANDI,DUTTAPUR F.V,92.5140499997893,24.2343669996688,Primary,Unrecognized
18230214704,BAGCHERRA GULAK RAM VLPS,HAILAKANDI,BAGCHERRA,92.509200000062,24.2343999999583,Primary,Unrecognized
18230204603,KALACHAND ROY VLPS,HAILAKANDI,DUTTAPUR F.V,92.5209499999109,24.2368399997639,Primary,Unrecognized
18230214705,BAGCHERRA TRIBAL VLP,HAILAKANDI,BAGCHERRA,92.5140170001774,24.2379169998021,Primary,Unrecognized
18230205004,317 NO JECOBPUR LP,HAILAKANDI,JECOBPUR F.V,92.5236000003546,24.2390669997465,Primary,Department of Education
18230204601,592 NO DUTTA PUR LP,HAILAKANDI,DUTTAPUR F.V,92.5236999999137,24.2391169996508,Primary,Department of Education
18230217502,KACHURTHAL F.V LPS,HAILAKANDI,KACHURTHAL F.V,92.5479329997305,24.2412830003015,Primary,Department of Education
18230217504,KACHUTHAL VLPS,HAILAKANDI,KACHURTHAL F.V,92.5479329997305,24.2412830003015,Primary,Unrecognized
18230215009,KALYANI VLPS,HAILAKANDI,GUTGUTI R.F,92.5149300002215,24.2485600001536,Primary,Unrecognized
18230205002,JECOBPUR LP,HAILAKANDI,JECOBPUR F.V,92.5197670004284,24.250900000035,Primary,Department of Education
18220333901,ASSAM SIMANTA KRISHNAGOPAL VLP,KARIMGANJ,DEWALI,92.2881169999097,24.2527170000953,Primary,Unrecognized
18230214602,HARIOM BASTI LPS,HAILAKANDI,DAMCHERRA F.V,92.4679669997375,24.2534499999332,Primary,Department of Education
18230205010,JECOBPUR BUBIRTUK LP SCHOOL,HAILAKANDI,JECOBPUR F.V,92.5072669998437,24.2543330003101,Primary,Unrecognized
18230205003,JECOBPUR ME,HAILAKANDI,JECOBPUR F.V,92.5194500002359,24.2577829996148,Upper Primary only,Department of Education
18230205009,GUNARBIL VLP,HAILAKANDI,JECOBPUR F.V,92.5114720002139,24.2578890002387,Primary,Unrecognized
18220303202,507NO. MANIKBOND TANGIA LPS,KARIMGANJ,NANDIGRAM,92.2779999998051,24.2596499996293,Primary,Department of Education
18220303802,1216NO. MEDLICHERRA LPS,KARIMGANJ,RANGAMATI,92.3079169997506,24.2607170000773,Primary,Department of Education
18230207002,BAIDYOR TOOK LPS,HAILAKANDI,PANCHPIROR MOKAM,92.5022170000998,24.261732999789,Primary,Department of Education
18220303501,448NO. DEWALI LPS,KARIMGANJ,PIPLACHERRA,92.289416999568,24.2620830002194,Primary,Department of Education
18230205001,320 NO JAMIRA NALARPAR LP,HAILAKANDI,JECOBPUR F.V,92.5275169999464,24.2626500002639,Primary,Department of Education
18220303504,DEWALI PUBLIC MES,KARIMGANJ,PIPLACHERRA,92.2898169996011,24.2628330002367,Upper Primary only,Government Aided
18230214601,552 DAMCHERRA LPS,HAILAKANDI,DAMCHERRA F.V,92.4775669996331,24.2637330001491,Primary,Department of Education
18230204902,734 NO GAICHENARI LP,HAILAKANDI,GHARMURA PART 2 F.V,92.5112499995578,24.2642670003007,Primary,Department of Education
18230205005,512 JECOBPUR TRIPURA BASTI LP,HAILAKANDI,JECOBPUR F.V,92.5185170001004,24.2643999998101,Primary,Department of Education
18230209002,GOLLACHERRA LPS,HAILAKANDI,GALLACHERRA F.V,92.5532670000549,24.2651330002679,Primary,Department of Education
18220303503,968NO. PASCHIM DEWALI LPS,KARIMGANJ,PIPLACHERRA,92.2874330001945,24.265466999698,Primary,Department of Education
18220303505,MADHYA PASCHIM PIPLACHERRA LP,KARIMGANJ,PIPLACHERRA,92.277900000246,24.2668830000237,Primary,Unrecognized
18230207004,SIKANDAR ALI LASKAR VLPS,HAILAKANDI,PANCHPIROR MOKAM,92.5028499997614,24.2673700003884,Primary,Unrecognized
18220303502,PIPLACHERRA MES,KARIMGANJ,PIPLACHERRA,92.2779830000866,24.2678500002704,Upper Primary only,Department of Education
18230207001,PANCNPIR MOKAM LPS,HAILAKANDI,PANCHPIROR MOKAM,92.4986670000307,24.2680500003686,Primary,Department of Education
18220449201,RIANG BOSTI LPS,KARIMGANJ,RIANG BOSTI,92.3855670001091,24.2681330000712,Primary,Department of Education
18230204904,473 NO GHARMURAH PURBOSIT LP,HAILAKANDI,GHARMURA PART 2 F.V,92.5270669996846,24.2702500003289,Primary,Department of Education
18230204806,TAPOBAN VLP,HAILAKANDI,GHARMURA PART 1 F.V,92.5153000001173,24.2711669999546,Primary,Unrecognized
18230214502,UJAN DAMCHERRA LPS,HAILAKANDI,DAMCHERRA N.C,92.4633170000266,24.2715000000142,Primary,Department of Education
18220303701,400 NO. PIPLAPUNJEE LPS,KARIMGANJ,PIPLAPUNJEE FV,92.2795170000967,24.2722500001466,Primary,Department of Education
18220446101,KALAGANG LPS,KARIMGANJ,KALAGANG,92.3883999999526,24.2731330001433,Primary,Department of Education
18220302502,BALIPIPLA HIGH SCHOOL,KARIMGANJ,BALIPIPLA,92.2873169998435,24.275349999803,Secondary Only,Department of Education
18230204901,467 NO GHARMURA HINDI LP,HAILAKANDI,GHARMURA PART 2 F.V,92.5314169998198,24.275932999766,Primary,Department of Education
18230214508,DAMCHERRAMUKH VLP,HAILAKANDI,DAMCHERRA N.C,92.4918830002602,24.2761330002437,Primary,Unrecognized
18220302501,BALIPIPLA MVS,KARIMGANJ,BALIPIPLA,92.2875829999823,24.2761500002207,Primary with Upper Primary,Department of Education
18230204802,GHARMURA MVS,HAILAKANDI,GHARMURA PART 1 F.V,92.5214670001198,24.2763830003981,Primary with Upper Primary,Department of Education
18230214512,KACHURTAL VLPS,HAILAKANDI,DAMCHERRA N.C,92.4745000003362,24.2764000003416,Primary,Unrecognized
18230214501,DAMCHERRA P.T. HARGILA LPS,HAILAKANDI,DAMCHERRA N.C,92.4742169995807,24.2765000002522,Primary,Department of Education
18230214509,BAIRAGINALA VLP,HAILAKANDI,DAMCHERRA N.C,92.4742169995807,24.2765170001801,Primary,Unrecognized
18230214510,UJAN DAMCHERRA VLP,HAILAKANDI,DAMCHERRA N.C,92.47434999965,24.2766330000605,Primary,Unrecognized
18230214503,ANZIRGENA LPS,HAILAKANDI,DAMCHERRA N.C,92.4906670002674,24.2774169998073,Primary,Department of Education
18220303801,513NO. RANGAMATI LPS,KARIMGANJ,RANGAMATI,92.2911499997698,24.2778670000958,Primary,Department of Education
18220406301,587NO. BHUBIR BOND LP SCHOOL,KARIMGANJ,BARO BUBIRBOND,92.3905669996243,24.2781329999862,Primary,Department of Education
18230214507,KUKINALA VLP,HAILAKANDI,DAMCHERRA N.C,92.4909500001246,24.2789330000738,Primary,Unrecognized
18220446102,BILGANAI (MODANI NAGAR) LPS,KARIMGANJ,KALAGANG,92.3917330002867,24.2793000001814,Primary,Department of Education
18220303601,604NO. UTTAR PIPLAPUNJEE LPS,KARIMGANJ,PIPLAPUNJEE,92.2764830004118,24.279549999835,Primary,Department of Education
18230204801,HORODHAN LP,HAILAKANDI,GHARMURA PART 1 F.V,92.5216830000299,24.2804170002782,Primary,Department of Education
18230204905,RANGKHAL BASTI LP,HAILAKANDI,GHARMURA PART 2 F.V,92.5356000004487,24.2810330003847,Primary,Department of Education
18220407001,1153NO. GOPINATH TRIBAL LPS,KARIMGANJ,CHOTO BHUBIRBOND,92.3922329998788,24.2816329997112,Primary,Department of Education
18220447505,GOPINATHPUR TRIBEL ME SCHOOL,KARIMGANJ,CHERAGI NAGAR,92.3837669999602,24.2824669997658,Upper Primary only,Private Unaided (Recognized)
18220446106,KALAGANG RIANG BOSTI LPS,KARIMGANJ,KALAGANG,92.3938999999583,24.2831330003652,Primary,Department of Education
18220438801,VIBEKANADA TRIBAL LP,KARIMGANJ,LAL GENAI,92.40255,24.2835329996218,Primary,Unrecognized
18230204810,KALIBARI HIGH SCHOOL,HAILAKANDI,GHARMURA PART 1 F.V,92.5181830001896,24.2843170001764,Secondary Only,Department of Education
18220302301,1210NO. ADITYA NAGAR LPS,KARIMGANJ,ADITYA NAGAR,92.284267000265,24.2846000001433,Primary,Department of Education
18220407605,SHIB BARI VLP SCHOOL,KARIMGANJ,KALAMAGURA,92.3936499997131,24.2857500003629,Primary,Unrecognized
18230209001,GALLACHERRA LP,HAILAKANDI,GALLACHERRA F.V,92.554067000121,24.2857669998715,Primary,Department of Education
18230204803,NAVAKISHORE LPS,HAILAKANDI,GHARMURA PART 1 F.V,92.5209669996293,24.2857999999226,Primary,Department of Education
18230204808,D.C MEMORIAL VLPS,HAILAKANDI,GHARMURA PART 1 F.V,92.5176669998055,24.2863000001684,Primary,Unrecognized
18220446108,KALAGANG L.P. SCHOOL,KARIMGANJ,KALAGANG,92.3760500000541,24.28658299981,Primary,Unrecognized
18220446109,KALAGANG MAKTAB MADRASSA,KARIMGANJ,KALAGANG,92.3760500000541,24.28658299981,Primary,Madarsa unrecognized
18230204903,351 NO RAMGURAH LP,HAILAKANDI,GHARMURA PART 2 F.V,92.5302500002309,24.2872170002041,Primary,Department of Education
